augments,companion,gold_left,last_round,level,missions,placement,players_eliminated,puuid,time_eliminated,total_damage_to_players,traits,units
"['TFT9_Augment_StationarySupport1', 'TFT11_Augment_Ghostly', 'TFT11_Augment_RadiantRefactor']","{'content_ID': '8590fc8c-de3f-4922-867e-5502cd7547f0', 'item_ID': 5018, 'skin_ID': 18, 'species': 'PetMiniGolem'}",1,40,8,{'PlayerScore2': 241},2,1,Lc8C26ZiFMcwYFBrs9_dBCVXgCr2gFNyZ7_WffcUeexdeOpgRarqtK-PG3cVFsCHD1qDqB0Bah__fA,2416.30859375,160,"[{'name': 'TFT11_Arcanist', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Behemoth', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Ghostly', 'num_units': 6, 'style': 3, 'tier_current': 3, 'tier_total': 4}, {'name': 'TFT11_InkShadow', 'num_units': 3, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Reaper', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Sage', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Sniper', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Warden', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFTEvent5YR_Imperial', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFTEvent5YR_LaserCorps', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}]","[{'character_id': 'TFT11_Jax', 'itemNames': ['TFT_Item_WarmogsArmor'], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_Caitlyn', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 3}, {'character_id': 'TFT11_Senna', 'itemNames': ['TFT_Item_GuardianAngel', 'TFT_Item_GuinsoosRageblade', 'TFT11_Item_InkshadowTiger'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Shen', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Aatrox', 'itemNames': ['TFT_Item_ThiefsGloves', 'TFT_Item_RapidFireCannon', 'TFT_Item_GuinsoosRageblade'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Illaoi', 'itemNames': ['TFT_Item_GargoyleStoneplate', 'TFT_Item_Artifact_InnervatingLocket', 'TFT_Item_WarmogsArmor'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Morgana', 'itemNames': ['TFT_Item_Morellonomicon', 'TFT_Item_BlueBuff', 'TFT_Item_StatikkShiv'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Kayn', 'itemNames': ['TFT_Item_InfinityEdge', 'TFT5_Item_GuardianAngelRadiant', 'TFT_Item_SteraksGage'], 'name': '', 'rarity': 4, 'tier': 2}]"
"['TFT6_Augment_PandorasItems', 'TFT11_Augment_DragonSpirit', 'TFT9_Augment_Commander_FinalAscension']","{'content_ID': '24b65469-d9a1-40ad-8ffa-629a3bf3fc95', 'item_ID': 27005, 'skin_ID': 5, 'species': 'PetChoncc'}",2,40,9,{'PlayerScore2': 241},1,5,unaHYD_coMuYGWS1DQOhRc70zZ5dyRjvSV2UTpufkw98aPkqBs6X2V1qiwlzqtdY1-CbjKSkXyyaXA,2418.027587890625,209,"[{'name': 'TFT11_Altruist', 'num_units': 3, 'style': 2, 'tier_current': 2, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Dragonlord', 'num_units': 4, 'style': 2, 'tier_current': 3, 'tier_total': 4}, {'name': 'TFT11_Duelist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Great', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}, {'name': 'TFT11_Heavenly', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 6}, {'name': 'TFT11_Invoker', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Lovers', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}, {'name': 'TFT11_Sage', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Storyweaver', 'num_units': 3, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFTEvent5YR_Elderwood', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}, {'name': 'TFTEvent5YR_Mascot', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}]","[{'character_id': 'TFT11_Janna', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Riven', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Diana', 'itemNames': ['TFT_Item_NightHarvester', 'TFT_Item_SteraksGage', 'TFT_Item_RedBuff'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Soraka', 'itemNames': ['TFT11_Item_InvokerEmblemItem', 'TFT_Item_ArchangelsStaff'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_LeeSin', 'itemNames': ['TFT_Item_Bloodthirster', 'TFT_Item_SteraksGage', 'TFT_Item_TitansResolve'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Galio', 'itemNames': ['TFT_Item_Redemption', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_DragonsClaw'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_WuKong', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 1}, {'character_id': 'TFT11_Rakan', 'itemNames': ['TFT9_Item_OrnnTrickstersGlass'], 'name': '', 'rarity': 6, 'tier': 2}, {'character_id': 'TFT11_Irelia', 'itemNames': ['TFT_Item_RapidFireCannon', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_InfinityEdge'], 'name': '', 'rarity': 6, 'tier': 2}, {'character_id': 'TFT11_Kayle', 'itemNames': ['TFT11_Storyweaver3_AP'], 'name': '', 'rarity': 9, 'tier': 1}, {'character_id': 'TFT11_Rakan', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 2}]"
"['TFT9_Augment_SilverSpoon', 'TFT7_Augment_BestFriends2', 'TFT6_Augment_ForceOfNature']","{'content_ID': 'b042babd-def6-4bfc-b2cb-9d6f9ed4a04d', 'item_ID': 19057, 'skin_ID': 57, 'species': 'PetDSSquid'}",1,33,9,{'PlayerScore2': 103},5,1,6UXBmnRNt7j1WffPEKGHstCBa3gom0U9Jy8X2u8sbKRQqPhsZMAZErTujV0SoJ4vdWpwWUlE9V4brg,2073.1494140625,94,"[{'name': 'TFT11_Arcanist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Bruiser', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 3, 'style': 2, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFT11_Fated', 'num_units': 2, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Ghostly', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_InkShadow', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Invoker', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Mythic', 'num_units': 2, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Porcelain', 'num_units': 3, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Sniper', 'num_units': 4, 'style': 2, 'tier_current': 2, 'tier_total': 3}, {'name': 'TFT11_Umbral', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Warden', 'num_units': 4, 'style': 2, 'tier_current': 2, 'tier_total': 3}, {'name': 'TFTEvent5YR_Elderwood', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFTEvent5YR_Mascot', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}]","[{'character_id': 'TFT11_KogMaw', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 1}, {'character_id': 'TFT11_Senna', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Lux', 'itemNames': ['TFT_Item_SpearOfShojin'], 'name': '', 'rarity': 1, 'tier': 1}, {'character_id': 'TFT11_Illaoi', 'itemNames': ['TFT_Item_DragonsClaw', 'TFT7_Item_ShimmerscaleDiamondHands', 'TFT_Item_NightHarvester'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Amumu', 'itemNames': ['TFT_Item_NightHarvester'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Aphelios', 'itemNames': [], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Sylas', 'itemNames': [], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Nautilus', 'itemNames': ['TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_NeedlesslyLargeRod'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Ashe', 'itemNames': ['TFT_Item_LastWhisper', 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Sett', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 2}]"
"['TFT6_Augment_TinyTitans', 'TFT9_Augment_JeweledLotus', 'TFT11_Augment_HeavenlyCrown']","{'content_ID': 'a9d00460-7cd2-4f6a-8669-21d6eb2838e9', 'item_ID': 74002, 'skin_ID': 2, 'species': 'PetChibiIrelia'}",7,34,8,{'PlayerScore2': 213},4,0,eahgnT-5id72yzkYwv2BeG7Dpb6ASNE6feA6503mt48bkiePh_-mpkhTIbJsQq23hbMvF6zPKQHUIw,2134.920654296875,84,"[{'name': 'TFT11_Altruist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Arcanist', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Behemoth', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Duelist', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Great', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}, {'name': 'TFT11_Heavenly', 'num_units': 7, 'style': 3, 'tier_current': 6, 'tier_total': 6}, {'name': 'TFT11_Mythic', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Reaper', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Sage', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Storyweaver', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFTEvent5YR_Socialite', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFTEvent5YR_Yordle', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}, {'name': 'TFTEvent5YR_YordleLord', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}]","[{'character_id': 'TFT11_KhaZix', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 3}, {'character_id': 'TFT11_Malphite', 'itemNames': ['TFT_Item_WarmogsArmor'], 'name': '', 'rarity': 0, 'tier': 3}, {'character_id': 'TFT11_Qiyana', 'itemNames': ['TFT_Item_Deathblade'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Riven', 'itemNames': ['TFT11_Item_HeavenlyEmblemItem', 'TFT_Item_UnstableConcoction', 'TFT_Item_LastWhisper'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Neeko', 'itemNames': ['TFT_Item_TitansResolve', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_NightHarvester'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Soraka', 'itemNames': ['TFT_Item_SpearOfShojin'], 'name': '', 'rarity': 2, 'tier': 3}, {'character_id': 'TFT11_WuKong', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 1}, {'character_id': 'TFTEvent5YR_Veigar', 'itemNames': ['TFT4_Item_OrnnZhonyasParadox', 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin'], 'name': '', 'rarity': 6, 'tier': 2}]"
"['TFT6_Augment_PandorasItems', 'TFT9_Augment_KnowYourEnemy', 'TFT6_Augment_ForceOfNature']","{'content_ID': 'f20f91f6-61ae-4137-8cc1-27ecbc08e9f1', 'item_ID': 6028, 'skin_ID': 28, 'species': 'PetPenguKnight'}",4,26,8,{'PlayerScore2': 81},8,0,zJgb_RYhSel3Nc_b13R-oKNbwmVJ9N9zdH4HY7Pdcr-1_LGV6B_Ho5oucDKt2czoUCFsZCWIHseK3A,1623.3458251953125,25,"[{'name': 'TFT11_Altruist', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Behemoth', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Dragonlord', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 2, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Ghostly', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Invoker', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Lovers', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}, {'name': 'TFT11_Mythic', 'num_units': 3, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Sage', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Sniper', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Umbral', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFTEvent5YR_Imperial', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}, {'name': 'TFTEvent5YR_Socialite', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}]","[{'character_id': 'TFT11_KogMaw', 'itemNames': ['TFT_Item_JeweledGauntlet', 'TFT_Item_ArchangelsStaff', 'TFT_Item_RabadonsDeathcap'], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_ChoGath', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_Caitlyn', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_Yorick', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Janna', 'itemNames': ['TFT7_Item_ShimmerscaleGamblersBlade'], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_TahmKench', 'itemNames': ['TFT_Item_GargoyleStoneplate', 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Sylas', 'itemNames': ['TFT_Item_GargoyleStoneplate'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Morgana', 'itemNames': [], 'name': '', 'rarity': 4, 'tier': 1}, {'character_id': 'TFT11_Rakan', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 1}]"
"['TFT9_Augment_Formation1', 'TFT11_Augment_DryadCrest', 'TFT11_Augment_Calltochaos']","{'content_ID': 'a29f61df-e8db-418e-873f-68271abc3a8d', 'item_ID': 40018, 'skin_ID': 18, 'species': 'PetPiximander'}",0,30,9,{'PlayerScore2': 94},7,0,9Q9ZUnaeuF7O7ybfi094jU_DUBn1sJgt6xUduACIp6Wt1dzMHqa7prJubjN5b3GTDtlbyOPkgS3URA,1880.531982421875,82,"[{'name': 'TFT11_Altruist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Behemoth', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Dryad', 'num_units': 6, 'style': 3, 'tier_current': 3, 'tier_total': 3}, {'name': 'TFT11_Fated', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Fortune', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Heavenly', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 6}, {'name': 'TFT11_Invoker', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Porcelain', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Reaper', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Storyweaver', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Warden', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFTEvent5YR_Coven', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}, {'name': 'TFTEvent5YR_MechPilot', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}]","[{'character_id': 'TFT11_RekSai', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_Gnar', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Riven', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Kindred', 'itemNames': ['TFT_Item_Quicksilver', 'TFT_Item_AdaptiveHelm'], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Amumu', 'itemNames': ['TFT11_Item_DryadEmblemItem', 'TFT_Item_Redemption', 'TFT_Item_GargoyleStoneplate'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Soraka', 'itemNames': ['TFT_Item_TearOfTheGoddess'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Ornn', 'itemNames': ['TFT_Item_DragonsClaw', 'TFT_Item_TitansResolve', 'TFT_Item_IonicSpark'], 'name': '', 'rarity': 4, 'tier': 1}, {'character_id': 'TFT11_Annie', 'itemNames': ['TFT_Item_RedBuff', 'TFT_Item_Artifact_LightshieldCrest'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Azir', 'itemNames': ['TFT_Item_JeweledGauntlet', 'TFT_Item_RabadonsDeathcap'], 'name': '', 'rarity': 6, 'tier': 1}]"
"['TFT6_Augment_PandorasItems', 'TFT9_Augment_JeweledLotus', 'TFT11_Augment_PorcelainCrown']","{'content_ID': '127829e1-6a49-45f7-b59d-f63c3f8b6e58', 'item_ID': 49003, 'skin_ID': 3, 'species': 'PetChibiAhri'}",5,35,9,{'PlayerScore2': 219},3,0,Wqoy6s7Kbqg0NA1IWmLUZbGWqL39jZcjwsmGXfd02mPXa5lEW6LYAWVmnbVkVOhwhJUAhmHspGzZeA,2193.161376953125,126,"[{'name': 'TFT11_Arcanist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Dragonlord', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 2, 'style': 0, 'tier_current': 0, 'tier_total': 2}, {'name': 'TFT11_Fortune', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Ghostly', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Great', 'num_units': 1, 'style': 5, 'tier_current': 1, 'tier_total': 1}, {'name': 'TFT11_Heavenly', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 6}, {'name': 'TFT11_Invoker', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Porcelain', 'num_units': 3, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Sage', 'num_units': 4, 'style': 3, 'tier_current': 3, 'tier_total': 4}, {'name': 'TFT11_Storyweaver', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Warden', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFTEvent5YR_Disco', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFTEvent5YR_Mountain', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}]","[{'character_id': 'TFT11_Zyra', 'itemNames': ['TFT11_Item_PorcelainEmblemItem', 'TFT_Item_SpearOfShojin', 'TFT_Item_Leviathan'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Janna', 'itemNames': ['TFT_Item_RabadonsDeathcap', 'TFT_Item_ArchangelsStaff'], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Lux', 'itemNames': ['TFT_Item_Leviathan', 'TFT_Item_JeweledGauntlet', 'TFT_Item_SpearOfShojin'], 'name': '', 'rarity': 1, 'tier': 3}, {'character_id': 'TFT11_Diana', 'itemNames': ['TFT4_Item_OrnnEternalWinter'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Illaoi', 'itemNames': ['TFT_Item_AdaptiveHelm'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Amumu', 'itemNames': ['TFT_Item_GargoyleStoneplate', 'TFT_Item_IonicSpark', 'TFT_Item_Redemption'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Morgana', 'itemNames': [], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Annie', 'itemNames': [], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_WuKong', 'itemNames': [], 'name': '', 'rarity': 6, 'tier': 1}]"
"['TFT9_Augment_BuildingACollection', 'TFT9_Augment_YouHaveMyBow', 'TFT11_Augment_PorcelainCrown']","{'content_ID': 'fa8c7689-43a3-4823-87ee-7874ecf6fbe4', 'item_ID': 31014, 'skin_ID': 14, 'species': 'PetNimblefoot'}",29,31,9,{'PlayerScore2': 98},6,0,NHp4ZdXiclfWKd3o8JNfWJHT2BFIMBi7fPqEDADLWQH35mWSkLjE8631STNDnu1JsHnyJfJJ6mxG3Q,1957.263671875,104,"[{'name': 'TFT11_Arcanist', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Behemoth', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Bruiser', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Exalted', 'num_units': 5, 'style': 3, 'tier_current': 2, 'tier_total': 2}, {'name': 'TFT11_Fated', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_InkShadow', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 3}, {'name': 'TFT11_Mythic', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Porcelain', 'num_units': 4, 'style': 3, 'tier_current': 2, 'tier_total': 3}, {'name': 'TFT11_Sniper', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFT11_Storyweaver', 'num_units': 1, 'style': 0, 'tier_current': 0, 'tier_total': 4}, {'name': 'TFT11_Umbral', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 4}, {'name': 'TFT11_Warden', 'num_units': 2, 'style': 1, 'tier_current': 1, 'tier_total': 3}, {'name': 'TFTEvent5YR_Mascot', 'num_units': 1, 'style': 1, 'tier_current': 1, 'tier_total': 2}, {'name': 'TFTEvent5YR_Mountain', 'num_units': 2, 'style': 4, 'tier_current': 2, 'tier_total': 2}]","[{'character_id': 'TFT11_Jax', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_ChoGath', 'itemNames': [], 'name': '', 'rarity': 0, 'tier': 2}, {'character_id': 'TFT11_Yorick', 'itemNames': [], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Lux', 'itemNames': ['TFT_Item_Artifact_LichBane', 'TFT_Item_Leviathan', 'TFT_Item_JeweledGauntlet'], 'name': '', 'rarity': 1, 'tier': 2}, {'character_id': 'TFT11_Amumu', 'itemNames': ['TFT_Item_Redemption', 'TFT_Item_FrozenHeart', 'TFT_Item_AdaptiveHelm'], 'name': '', 'rarity': 2, 'tier': 2}, {'character_id': 'TFT11_Aphelios', 'itemNames': [], 'name': '', 'rarity': 2, 'tier': 1}, {'character_id': 'TFT11_Sylas', 'itemNames': ['TFT_Item_GiantsBelt', 'TFT11_Item_SpellslingerEmblemItem'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Galio', 'itemNames': ['TFT11_Item_PorcelainEmblemItem', 'TFT_Item_BrambleVest', 'TFT_Item_NegatronCloak'], 'name': '', 'rarity': 4, 'tier': 2}, {'character_id': 'TFT11_Ashe', 'itemNames': ['TFT_Item_GuinsoosRageblade', 'TFT_Item_LastWhisper', 'TFT_Item_GuinsoosRageblade'], 'name': '', 'rarity': 4, 'tier': 2}]"
